marca,modelo,precio,kilometraje,motor,region,año,combustible,transmision
VOLVO,S60,7.8,184500,,Los Lagos,2013,diesel,automatico
CHEVROLET,GROOVE,10.99,57000,1.5,Los Lagos,2021,gasolina,mecanico
FORD,F-150,24.99,185000,5.0,La Araucanía,2018,gasolina,automatico
FORD,EDGE,16.99,67000,2.0,La Araucanía,2019,gasolina,automatico
KIA,SELTOS,14.5,49000,1.6,Los Lagos,2020,gasolina,mecanico
CHEVROLET,SPARK,7.25,82000,1.2,Metropolitana,2021,gasolina,mecanico
KIA,RIO 4,7.78,117000,1.4,Metropolitana,2017,gasolina,mecanico
RENAULT,OROCH,5.35,148000,1.6,Valparaíso,2018,gasolina,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
PEUGEOT,PARTNER,9.65,100000,1.6,Metropolitana,2020,diesel,mecanico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
SUZUKI,SWIFT,15.0,39000,1.4,Coquimbo,2022,gasolina,automatico
OPEL,MOKKA,17.99,53000,1.5,La Araucanía,2023,diesel,mecanico
GREAT WALL,POER,14.59,66000,2.0,Metropolitana,2022,diesel,mecanico
MITSUBISHI,OUTLANDER,4.98,136000,,Metropolitana,2005,gasolina,automatico
PEUGEOT,RIFTER,17.89,51000,1.5,Metropolitana,2022,diesel,automatico
TOYOTA,RAV4,9.98,110000,,Metropolitana,2014,gasolina,automatico
AUDI,A5,15.98,80700,,Metropolitana,2014,gasolina,automatico
CHERY,TIGGO 2,8.99,17000,1.5,Metropolitana,2023,gasolina,mecanico
CHANGAN,CS35,8.99,52000,1.6,Metropolitana,2020,gasolina,mecanico
MAXUS,T60,10.0,143000,2.8,Metropolitana,2020,diesel,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
JAC,JS3,9.47,43784,1.6,Metropolitana,2022,gasolina,automatico
NISSAN,NAVARA,21.99,72000,2.3,Biobío,2022,diesel,mecanico
JEEP,GRAND CHEROKEE,26.99,140000,3.0,Biobío,2019,diesel,automatico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
M. BENZ,C300,28.5,61900,2.0,Metropolitana,2017,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
SSANGYONG,GRAND MUSSO,14.49,85000,1.6,O’Higgins,2022,diesel,mecanico
RENAULT,OROCH,10.99,79000,2.0,Valparaíso,2020,gasolina,mecanico
KIA,GRAND CARNIVAL,9.59,201947,2.2,Metropolitana,2015,diesel,automatico
NISSAN,NAVARA,18.59,96000,2.5,O’Higgins,2021,diesel,mecanico
AUDI,A3,0.75,145000,1.2,O’Higgins,2012,gasolina,automatico
NISSAN,X-TRAIL,13.19,84000,2.5,Metropolitana,2021,gasolina,automatico
NISSAN,NAVARA,37.99,11000,2.3,Biobío,2024,diesel,automatico
