id;enlace;titulo;marca;modelo;motor;combustible;kilometraje;transmision;precio;localidad;region
CL-AD-15854304;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-2-1-5-v/CL-AD-15854304/?Cr=428;2015 Mazda 2 1.5 V;MAZDA;MAZDA2;15;Bencina;121000;Manual;6500000.0;Vitacura;
CL-AD-13177873;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-3-2-0-manual-r-skyactive/CL-AD-13177873/?Cr=429;2019 Mazda Cx-3 2.0 Manual R Skyactive;MAZDA;CX-3;20;Bencina;83500;Manual;15000000.0;Villa Alemana;Valparaiso
CL-AD-13264824;https://www.chileautos.cl/vehiculos/detalles/2008-mazda-3-1-6-v-srf/CL-AD-13264824/?Cr=430;2008 Mazda 3 1.6 V SRF;MAZDA;MAZDA3;16;Bencina;203000;Manual;6590000.0;Lo Espejo;
CL-AD-13923857;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-5/CL-AD-13923857/?Cr=431;2016 Mazda Cx-5;;;;Bencina;189100;Automatica;15000000.0;Zapallar; Valparaiso
CL-AD-13139719;https://www.chileautos.cl/vehiculos/detalles/2013-mazda-2-1-5-s/CL-AD-13139719/?Cr=432;2013 Mazda 2 1.5 S;MAZDA;MAZDA2;15;Bencina;160000;Manual;6850000.0;Santiago;
CL-AD-13394051;https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-5-2-0-manual-skyactiv-r/CL-AD-13394051/?Cr=433;2019 Mazda Cx-5 2.0 Manual Skyactiv R;MAZDA;CX-5;20;Bencina;27000;Manual;19000000.0;Padre Hurtado;
CL-AD-14354669;https://www.chileautos.cl/vehiculos/detalles/2020-mazda-bt-50-2-2-dsl-manual-sdx/CL-AD-14354669/?Cr=434;2020 Mazda Bt-50 2.2 DSL Manual SDX;MAZDA;BT-50;22;Diesel;96000;Manual;21000000.0;Padre Hurtado;
CL-AD-13577879;https://www.chileautos.cl/vehiculos/detalles/2018-mazda-cx-5-2-5-skyactiv-gt-auto-4wd/CL-AD-13577879/?Cr=435;2018 Mazda Cx-5 2.5 Skyactiv GT Auto 4WD;MAZDA;CX-5;25;Bencina;79000;Automatica;20690000.0;Nunoa;
CL-AD-13601890;https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-5-2-0-skyactiv-gt-auto-4wd/CL-AD-13601890/?Cr=436;2016 Mazda Cx-5 2.0 Skyactiv GT Auto 4WD;MAZDA;CX-5;20;Bencina;76600;Automatica;16650000.0;La Reina;
CL-AD-15826383;https://www.chileautos.cl/vehiculos/detalles/2015-mazda-cx-5-2-0-skyactiv-r-4wd/CL-AD-15826383/?Cr=437;2015 Mazda Cx-5 2.0 Skyactiv R 4WD;MAZDA;CX-5;20;Bencina;144000;Manual;11700000.0;Talca; Maule
